,lat,lon,name,NumberOfProjects,text
0,47.678061,9.157161672173231,Bibliotheksservice-Zentrum Baden-Württemberg (BSZ),1.0,Institute: Bibliotheksservice-Zentrum Baden-Württemberg (BSZ) with 1 project(s)
1,47.682362299999994,9.14497781560219,Byk-Gulden Lomberg Chemische Fabrik GmbH,1.0,Institute: Byk-Gulden Lomberg Chemische Fabrik GmbH with 1 project(s)
2,47.6900886,9.18824387650025,Universität Konstanz,328.0,Institute: Universität Konstanz with 328 project(s)
3,47.6900886,9.18824387650025,"Universität Konstanz Kommunikations-, Informations-, Medienzentrum (KIM)",2.0,"Institute: Universität Konstanz Kommunikations-, Informations-, Medienzentrum (KIM) with 2 project(s)"
4,47.7677539,8.996818300000001,Max-Planck-Institut für Ornithologie Außenstelle Vogelwarte Radolfzell,1.0,Institute: Max-Planck-Institut für Ornithologie Außenstelle Vogelwarte Radolfzell with 1 project(s)
5,47.8363265,8.971950199999998,ETO MAGNETIC GmbH,1.0,Institute: ETO MAGNETIC GmbH with 1 project(s)
6,47.873680799999995,12.6312912,Kliniken Südostbayern AG Klinikum Traunstein,1.0,Institute: Kliniken Südostbayern AG Klinikum Traunstein with 1 project(s)
7,47.8759467,11.727842800000001,Fraunhofer-Institut für Bauphysik (IBP) Abteilung Raumklima,1.0,Institute: Fraunhofer-Institut für Bauphysik (IBP) Abteilung Raumklima with 1 project(s)
8,47.9173343,11.2744451203527,Max-Planck-Institut für Ornithologie,1.0,Institute: Max-Planck-Institut für Ornithologie with 1 project(s)
9,47.975941799999994,8.8199299,CHIRON-WERKE GmbH & Co. KG,1.0,Institute: CHIRON-WERKE GmbH & Co. KG with 1 project(s)
10,47.980954499999996,8.8021709180474,Aesculap AG,1.0,Institute: Aesculap AG with 1 project(s)
11,47.9866655,7.780232526661,HÜTTINGER Elektronik GmbH + Co. KG,1.0,Institute: HÜTTINGER Elektronik GmbH + Co. KG with 1 project(s)
12,47.9975848,7.8417487999999995,Jedox AG,1.0,Institute: Jedox AG with 1 project(s)
13,47.9981175,7.8456295,Albert-Ludwigs-Universität Freiburg Zentrum für Populäre Kultur und Musik,1.0,Institute: Albert-Ludwigs-Universität Freiburg Zentrum für Populäre Kultur und Musik with 1 project(s)
14,47.99846825,7.86116702809491,Kiepenheuer-Institut für Sonnenphysik (KIS),1.0,Institute: Kiepenheuer-Institut für Sonnenphysik (KIS) with 1 project(s)
15,47.99924705,7.84810421006113,Albert-Ludwigs-Universität Freiburg Institut für Geo- und Umweltnaturwissenschaften Lehrstuhl für Hydrologie,1.0,Institute: Albert-Ludwigs-Universität Freiburg Institut für Geo- und Umweltnaturwissenschaften Lehrstuhl für Hydrologie with 1 project(s)
16,47.9994467,12.403832699999999,seele cover GmbH,1.0,Institute: seele cover GmbH with 1 project(s)
17,48.006652100000004,7.8381056,Brandenburgische Technische Universität Cottbus-Senftenberg,47.0,Institute: Brandenburgische Technische Universität Cottbus-Senftenberg with 47 project(s)
18,48.006652100000004,7.8381056,Universitätsklinikum Freiburg,44.0,Institute: Universitätsklinikum Freiburg with 44 project(s)
19,48.01044755,7.83490038491665,Fraunhofer-Institut für Physikalische Messtechnik (IPM),1.0,Institute: Fraunhofer-Institut für Physikalische Messtechnik (IPM) with 1 project(s)
20,48.02542475,7.85149313969125,Max-Planck-Institut für Immunbiologie und Epigenetik,10.0,Institute: Max-Planck-Institut für Immunbiologie und Epigenetik with 10 project(s)
21,48.02542475,7.85149313969125,Max-Planck-Institut für Immunbiologie und Epigenetik Abteilung Zelluläre und Molekulare Immunologie,1.0,Institute: Max-Planck-Institut für Immunbiologie und Epigenetik Abteilung Zelluläre und Molekulare Immunologie with 1 project(s)
22,48.0306724,8.9397199,Hammerwerk Fridingen GmbH Umform- und Bearbeitungstechnik,1.0,Institute: Hammerwerk Fridingen GmbH Umform- und Bearbeitungstechnik with 1 project(s)
23,48.0327354,7.85751888569327,Albert-Ludwigs-Universität Freiburg,637.0,Institute: Albert-Ludwigs-Universität Freiburg with 637 project(s)
24,48.034079799999994,7.851537335717991,Fraunhofer-Institut für Werkstoffmechanik (IWM),2.0,Institute: Fraunhofer-Institut für Werkstoffmechanik (IWM) with 2 project(s)
25,48.0512253,8.9682576,Vetus Latina-Institut,1.0,Institute: Vetus Latina-Institut with 1 project(s)
26,48.05141765,8.20772336299239,Hochschule Furtwangen,5.0,Institute: Hochschule Furtwangen with 5 project(s)
27,48.0802099,11.6383694,Universität der Bundeswehr München,5.0,Institute: Universität der Bundeswehr München with 5 project(s)
28,48.083356,11.275256599999999,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR) Standort Oberpfaffenhofen,3.0,Institute: Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR) Standort Oberpfaffenhofen with 3 project(s)
29,48.08629875,9.1876804298422,Gühring oHG Geschäftsbereich Forschung & Entwicklung,1.0,Institute: Gühring oHG Geschäftsbereich Forschung & Entwicklung with 1 project(s)
30,48.0914908,11.6461992,Max-Planck-Institut für extraterrestrische Physik Halbleiterlabor,1.0,Institute: Max-Planck-Institut für extraterrestrische Physik Halbleiterlabor with 1 project(s)
