Bundesland,project_id,subject_area,funding_start_year,funding_end_year
Nordrhein-Westfalen,5338508,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik",1987,1
Nordrhein-Westfalen,5338522,FK Physik der kondensierten Materie,1987,1
Nordrhein-Westfalen,5338564,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik",1987,1
Nordrhein-Westfalen,5338570,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik",1987,1
Nordrhein-Westfalen,5338576,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik",1987,1
Nordrhein-Westfalen,5338653,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik",1987,1
Nordrhein-Westfalen,5338660,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik",1987,1
Nordrhein-Westfalen,5338666,Präparative und Physikalische Chemie von Polymeren,1987,1
Nordrhein-Westfalen,5338726,Physik,1987,1
Nordrhein-Westfalen,5474568,Physik,1987,1
Nordrhein-Westfalen,5474568,Physik,1987,1
Nordrhein-Westfalen,5474568,Physik,1987,1
Nordrhein-Westfalen,5338528,Mathematik,1987,1
Nordrhein-Westfalen,5338534,FK Physik der kondensierten Materie,1987,1
Nordrhein-Westfalen,5338558,Mathematik,1987,1
Nordrhein-Westfalen,5338646,Mathematik,1987,1
Freistaat Bayern,5337990,Alte Geschichte,1987,1
Rheinland-Pfalz,5338018,Mittelalterliche Geschichte,1987,1
Rheinland-Pfalz,5338024,Mittelalterliche Geschichte,1987,1
Rheinland-Pfalz,5338034,Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte),1987,1
Rheinland-Pfalz,5338040,Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte),1987,1
Rheinland-Pfalz,5338088,Mittelalterliche Geschichte,1987,1
Rheinland-Pfalz,5338094,Mittelalterliche Geschichte,1987,1
Rheinland-Pfalz,5338100,Mittelalterliche Geschichte,1987,1
Rheinland-Pfalz,5338148,Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte),1987,1
Rheinland-Pfalz,5338204,Geisteswissenschaften,1987,1
Rheinland-Pfalz,5474491,Geisteswissenschaften,1987,1
Nordrhein-Westfalen,5338582,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik",1988,1
Nordrhein-Westfalen,5338672,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik",1988,1
Brandenburg,5344642,Ethnologie und Europäische Ethnologie,1988,1
Brandenburg,5344649,Ethnologie und Europäische Ethnologie,1988,1
Brandenburg,5344715,"FK Ethnologie, Außereuropäische Kulturen, Religionswissenschaft",1988,1
Brandenburg,5344724,"FK Ethnologie, Außereuropäische Kulturen, Religionswissenschaft",1988,1
Brandenburg,5344730,"FK Ethnologie, Außereuropäische Kulturen, Religionswissenschaft",1988,1
