subject_area,1979.0,1996.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
Biochemie,0,0,2,6,4,7,8,4,15,16,23,24,23,12,15,17,21,13,18
Physik,0,0,0,0,0,3,2,1,11,7,37,28,14,14,14,19,14,4,8
Medizin,0,0,0,0,1,2,0,1,5,8,37,23,20,19,19,17,4,4,3
Molekularbiologie,0,0,1,4,2,13,7,3,9,12,14,13,15,8,8,7,10,7,12
Zellbiologie,0,0,1,3,3,7,7,5,8,12,13,11,16,11,10,9,8,8,13
Biologie,0,0,0,1,0,1,2,0,5,9,34,21,10,15,11,13,10,2,9
Informatik,0,0,0,2,2,3,3,2,5,6,30,15,10,9,12,10,16,4,4
Chemie,0,0,0,1,0,1,2,0,5,10,28,17,6,10,14,12,14,2,6
Immunologie,0,0,2,4,3,3,5,4,10,13,15,9,7,7,13,8,8,11,4
Mathematik,0,0,1,0,0,2,1,2,0,9,20,17,8,7,14,12,15,3,4
Mikrobiologie,1,0,1,1,2,5,4,3,2,5,8,6,16,4,10,8,8,8,10
Biophysik,0,0,1,2,1,4,7,1,4,6,12,8,8,3,8,13,12,4,6
Genetik,0,0,0,2,3,7,2,3,5,8,6,6,5,10,7,7,5,6,6
Materialwissenschaften,0,0,0,0,0,1,2,2,7,3,9,7,9,5,5,12,14,4,2
Soziologie,0,0,0,0,0,3,5,3,3,3,10,7,8,6,5,4,11,6,4
Psychologie,0,0,0,0,0,1,0,2,5,6,10,7,7,6,3,6,10,2,7
Physiologie,0,0,0,4,1,0,3,3,3,9,10,5,4,6,4,5,4,5,6
Physikalische Chemie,0,0,3,1,1,2,9,1,3,2,4,5,6,4,7,5,8,5,6
Maschinenbau,0,0,1,1,1,2,2,1,2,5,16,8,3,7,8,5,3,3,1
Bioinformatik,0,0,0,0,1,0,1,0,3,4,5,7,5,6,5,7,9,8,5
Organische Chemie,0,0,1,1,0,2,7,2,5,4,4,2,5,7,3,3,4,4,6
Elektrotechnik,0,0,1,1,0,2,0,0,0,4,19,3,2,7,5,8,5,1,2
Pharmakologie,0,0,0,2,1,2,3,2,5,6,8,4,3,4,3,2,4,6,4
Philosophie,0,0,1,1,1,1,1,2,2,4,6,10,4,4,2,3,6,6,5
Virologie,0,0,0,2,2,1,5,1,8,8,5,2,2,2,7,0,2,3,3
Neurologie,0,0,0,0,2,3,1,0,3,8,6,2,7,2,5,2,4,2,3
Neurobiologie,0,0,0,0,2,3,2,2,2,6,7,1,5,3,4,2,6,4,1
Theoretische Physik,0,0,2,1,0,2,4,4,1,4,2,1,4,4,2,7,4,5,2
Anorganische Chemie,0,0,0,2,1,2,5,1,4,2,4,0,2,6,2,2,7,3,5
Strukturbiologie,0,0,0,1,0,2,0,0,2,5,5,6,3,3,3,4,3,3,4
Entwicklungsbiologie,0,0,0,0,1,2,2,0,3,3,7,5,2,2,5,3,2,2,2
Politikwissenschaften,0,0,0,0,0,0,0,3,1,0,0,6,4,6,1,5,6,3,6
Verfahrenstechnik,0,0,0,1,0,1,1,1,0,3,7,5,0,2,5,4,5,0,4
Festkörperphysik,0,0,0,2,3,2,1,2,1,2,2,5,1,3,5,4,2,1,2
Kunstgeschichte,0,0,1,1,1,1,2,3,0,4,2,2,2,1,1,4,4,4,2
Innere Medizin,0,0,2,3,2,2,0,2,4,4,2,2,3,1,3,2,1,2,0
Dermatologie,0,0,0,1,3,2,1,2,5,4,2,3,2,1,3,2,0,3,0
Neurowissenschaften,0,0,0,0,0,0,0,0,1,0,7,4,2,4,3,4,4,2,3
Theoretische Chemie,0,0,0,1,1,1,5,2,2,2,3,1,1,2,2,1,3,1,5
